px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.0001	0.0001	0	0	0	0	0	0	0	0	0	6.94831e-310
0.346278	-0.346254	0	0	0	0	0	0	0	0	0	2.0624
1.52364	-0.123017	0.752005	1.38778e-17	-2.77556e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	1.78766
1.62553	0.0174466	1.90316	-0.090756	-0.0549493	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	6.63661
3.87626	-0.133047	2.22967	-0.0796403	-0.0228315	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	1.01047
3.94888	0.0725786	2.63357	0.291607	0.162021	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	4.36385
6.83591	0.410447	3.29739	0.109287	0.0142067	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	1.24123
6.74444	0.434781	2.79922	0.15174	0.0537058	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	2.11084
9.07324	0.595522	2.86033	0.00936606	-0.0762996	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.060845
9.03679	0.663441	2.70925	0.0555981	-0.0497036	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.22998
11.5631	1.65504	2.92355	0.604289	0.328581	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.675484
11.5391	1.61914	2.90888	0.580916	0.31318	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.497868
13.6037	2.33267	2.30915	0.361663	-0.022116	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.835928
13.6308	2.30863	2.558	0.311435	-0.0989983	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	1.0425
16.6006	2.89906	3.31197	-0.00891575	-0.239734	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	1.96742
16.5327	2.88218	3.03782	-0.0347594	-0.290738	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	1.11988
19.0129	3.69358	2.85814	0.368372	0.147583	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.705127
19.0786	3.7176	2.74951	0.418355	0.199995	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.38755
21.3225	4.73162	2.87486	0.44523	0.0880616	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.104535
